asset,tf,model,events,long_pct_unbal,long_pct_bal,auc_unbal,auc_bal,pbo,sr_net
ETH,1h,CatBoost,10889,0.9049586776859504,0.4522497704315886,0.5009266631888196,0.4927780332775047,1.0,-1.2828332094816173
ETH,1h,LightGBM,10889,0.8172635445362718,0.522038567493113,0.48959563164108616,0.4859456083029022,1.0,-1.0965501639145108
ETH,1h,RF,10889,0.9540863177226814,0.5275482093663911,0.5045046127234288,0.5067886658795749,1.0,-1.3091147130915681
ETH,1d,CatBoost,653,0.7862595419847328,0.3969465648854962,0.5881118881118881,0.6160839160839161,1.0,0.7878695523673315
ETH,1d,LightGBM,653,0.6946564885496184,0.6335877862595419,0.6172494172494173,0.6447552447552448,1.0,1.6401750917474558
ETH,1d,RF,653,0.7938931297709924,0.6030534351145038,0.6027972027972028,0.6307692307692307,1.0,1.3980863694911652
SOL,1h,CatBoost,12000,0.9704166666666667,0.3225,0.533442484716464,0.5109359848218678,1.0,-0.20627851125622965
SOL,1h,LightGBM,12000,0.7945833333333333,0.44916666666666666,0.5296145738177219,0.5282074344740355,1.0,-0.2513579436649998
SOL,1h,RF,12000,0.9641666666666666,0.37583333333333335,0.5183845126835781,0.5194048204623709,1.0,-0.15384227459799968
SOL,1d,CatBoost,608,0.680327868852459,0.48360655737704916,0.5589280831282472,0.5638501503964999,1.0,0.49772623650639547
SOL,1d,LightGBM,608,0.7213114754098361,0.6557377049180327,0.5441618813234892,0.5411539513262237,1.0,0.8168254650833996
SOL,1d,RF,608,0.6721311475409836,0.4672131147540984,0.5928356576428766,0.5876401421930544,1.0,1.9414141566359633
BTC,1h,CatBoost,15271,0.9715220949263502,0.42291325695581017,0.5021213771626176,0.5008139001045633,1.0,-0.8766981941633168
BTC,1h,LightGBM,15271,0.8870703764320785,0.4795417348608838,0.48900165660310824,0.4884727306370328,1.0,-1.0530372264847752
BTC,1h,RF,15271,0.9842880523731588,0.45368248772504094,0.4941490838059627,0.5035610857121909,1.0,-0.8546418799678152
BTC,1d,CatBoost,864,0.7572254335260116,0.4624277456647399,0.46068027210884355,0.4831292517006803,1.0,0.6911931787684461
BTC,1d,LightGBM,864,0.7283236994219653,0.6242774566473989,0.49251700680272104,0.4616326530612244,1.0,0.3841770735350176
BTC,1d,RF,864,0.7687861271676301,0.5953757225433526,0.4386394557823129,0.46816326530612246,1.0,0.6641071695291586
